overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
66,70,16,15,15,36,18,21,17,12,28,30,35,35,47,66,42,49,55,49,75,15,47,25,16,35,36,28,13,14,0.5,0,0,0,0,0,0,0,0,0,0,1,0
61,61,15,13,18,29,17,12,13,18,34,22,45,50,33,59,47,26,69,51,69,17,39,19,14,33,27,11,18,15,0.4,0,0,0,0,0,0,0,0,0,0,0,1
67,67,62,56,66,66,56,64,71,72,67,64,67,58,66,64,63,71,50,80,70,70,81,64,59,65,71,58,65,65,0.388888889,0,0,0,0,0,0,0,0,0,0,0,1
62,67,57,62,67,58,54.12019289,61,53.77744081,55,40,57,63,65,67.15228848,51,65.75988857,71,61.65028677,64,66,61,38,58,47,62.93674497,42,20,20,35.11708888,0.5,0,0,0,0,0,0,1,0,0,0,0,0
71,74,66,64,68,72,64,70,57,66,65,73,74,75,80,71,72,69,72,76,73,69,70,62,73,75,67,58,60,51,0.333333333,0,0,0,0,0,0,0,0,0,0,0,1
69,73,51,51,66,68,47,59,37,52,65,66,65,61,61,65,71,69,71,79,76,63,78,72,51,64,50,62,73,70,0.331325301,1,0,0,0,0,0,0,0,0,0,0,0
73,77,68,64,62,77,70,73,75,67,71,76,66,65,76,70,70,73,69,66,67,78,66,55,66,75,64,33,47,36,0.37755102,0,0,0,0,0,0,1,0,0,0,0,0
62,62,49,60,63,55,50,59,54,49,45,62,69,60,77,60,62,67,61,57,72,55,41,29,64,54,60,15,25,25,0,0,0,0,1,0,0,0,0,0,0,0,0
68,73,50,22,68,48,24,36,15,38,56,60,60,61,54,59,63,51,57,64,72,38,67,57,52,52,57,70,74,64,0.3,0,0,0,0,0,0,0,1,0,0,0,0
70,70,78,60,55,71,52,69,79,78,74,71,68,70,71,60,69,72,59,57,59,72,52,45,65,73,76,25,39,27,0.411764706,0,0,0,0,0,0,0,0,0,0,1,0
65,68,54,60,72,68,58,61,70,48,62,68,57,48,46,68,57,64,27,58,72,51,60,66,66,72,66,49,54,48,0.5,0,1,0,0,0,0,0,0,0,0,0,0
64,67,52,44,64,69,44,53,54,51,67,67,67,65,62,61,60,60,75,79,78,58,69,62,48,63,57,60,62,61,0.346153846,0,1,0,0,0,0,0,0,0,0,0,0
60,66,55,59,57,58,51.52070125,71,56.63927708,56,53,66,70,71,65.44654304,61,68.5145044,62,61.35831736,60,54,54,57,54,55,58.67061384,54,49,56,48.0099801,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0
66,66,16,16,15,36,14,20,16,16,28,26,49,50,49,68,43,28,78,28,70,15,45,20,18,32,31,14,15,17,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0
61,65,39,65,74,46,58,46,34,43,27,51,53,62,48,64,74,65,53,58,88,51,61,24,68,48,62,12,19,18,0.5,0,0,0,0,0,0,0,0,0,0,0,1
72,75,73,63,64,76,60,73,62,66,73,73,73,74,67,74,73,65,49,62,50,66,60,55,68,73,71,48,55,47,0.342465753,0,0,0,0,0,1,0,0,0,0,0,0
68,68,72,50,63,70,63,66,64,68,66,74,71,62,69,65,76,72,59,60,57,63,50,42,67,72,69,38,24,18,0,0,0,0,0,0,0,0,0,0,1,0,0
65,71,54,66,69,55,58,66,58,52,38,66,69,69,71,62,58,67,68,66,72,58,51,34,64,61,58,33,26,34,0.5,0,0,0,0,1,0,0,0,0,0,0,0
68,71,46,72,81,62,63,50,54,31,40,62,59,66,47,69,58,76,48,63,85,51,50,44,73,62,65,28,32,21,0.395833333,0,0,0,0,0,0,0,0,0,1,0,0
64,66,66,39,50,62,39,50,39,38,64,63,65,66,65,66,62,58,65,73,68,49,67,64,48,64,55,64,66,65,0.5,0,0,0,1,0,0,0,0,0,0,0,0
66,67,67,67,73,54,29,75,55,45,45,65,73,75,69,68,48,58,71,74,73,61,70,42,61,53,79,61,62,66,0.416666667,0,0,0,0,0,0,0,0,0,0,0,1
67,70,61,60,70,72,54,64,44,50,67,68,60,62,64,61,62,68,63,77,77,58,73,69,61,66,60,64,66,64,0.366071429,0,0,0,0,1,0,0,0,0,0,0,0
64,69,59,65,51,58,54.07220757,64,56.51417909,48,52,65,71,73,70.09206229,66,69.53451916,67,65.65870831,66,66,63,61,61,58,62.60972494,53,30,33,39.71880998,0.5,0,0,0,0,0,0,0,0,1,0,0,0
