match_api_id,team_api_id,team_type,spread,status,fire,water,earth,air,Aries,Leo,Sagittarius,Cancer,Scopio,Pisces,Taurus,Virgo,Capricorn,Gemini,Libra,Aquarius,TeamGoal
830222,9941,away,1,lose,5,2,0,4,2,3,0,1,0,1,0,0,0,2,0,2,1
830249,8481,away,1,lose,2,6,1,2,0,1,1,2,1,3,1,0,0,1,0,1,1
830254,9941,home,1,lose,5,2,1,3,2,3,0,1,0,1,1,0,0,1,0,2,1
830281,8583,home,1,win,4,3,2,2,3,0,1,1,1,1,0,1,1,1,1,0,1
830283,8521,away,2,lose,1,5,4,1,0,0,1,3,0,2,3,1,0,0,1,0,1
830284,7819,home,1,win,2,4,2,3,0,1,1,2,0,2,1,0,1,1,1,1,1
830288,8592,away,1,lose,5,0,4,2,3,0,2,0,0,0,1,0,3,1,0,1,1
830291,9851,away,1,win,3,5,3,0,2,0,1,2,2,1,3,0,0,0,0,0,1
830295,9874,away,1,win,4,3,4,0,3,0,1,1,0,2,0,2,2,0,0,0,1
830302,9829,away,1,win,2,2,5,2,2,0,0,1,0,1,2,1,2,0,1,1,1
830306,9941,away,1,win,6,2,0,3,2,4,0,1,0,1,0,0,0,2,0,1,1
830307,9873,home,1,lose,2,3,1,5,1,0,1,1,1,1,0,1,0,0,2,3,1
830310,9831,home,1,win,2,3,3,3,2,0,0,2,1,0,0,3,0,0,3,0,1
830325,8521,away,1,lose,1,4,4,2,0,0,1,2,0,2,3,1,0,0,0,2,1
830332,9847,home,1,lose,2,5,2,2,0,1,1,2,1,2,0,1,1,0,0,2,1
830334,8481,away,1,win,1,5,0,5,0,1,0,2,0,3,0,0,0,1,0,4,1
830336,10249,away,3,lose,5,2,2,2,1,4,0,0,0,2,0,0,2,0,1,1,1
830345,8592,away,1,win,6,0,4,1,4,0,2,0,0,0,2,0,2,0,1,0,1
830348,7819,home,2,lose,4,3,1,3,1,2,1,2,0,1,1,0,0,1,0,2,1
830360,8521,home,1,lose,1,4,5,1,0,0,1,1,0,3,4,1,0,0,0,1,1
830362,10249,away,1,win,4,2,2,3,1,3,0,0,0,2,1,0,1,1,1,1,1
830372,7819,away,1,lose,2,6,2,1,0,1,1,3,0,3,1,0,1,0,0,1,1
830378,9829,home,1,win,4,5,1,1,2,1,1,2,1,2,1,0,0,0,1,0,1
830385,9873,away,1,win,4,1,1,5,1,0,3,0,0,1,1,0,0,0,2,3,1
830390,10249,away,1,lose,4,2,3,2,1,2,1,0,0,2,1,0,2,0,1,1,1
830393,9847,home,1,win,2,4,2,3,1,1,0,1,1,2,0,1,1,1,0,2,1
830396,9851,away,1,lose,1,4,4,2,1,0,0,2,1,1,3,0,1,0,0,2,1
830397,8481,home,1,lose,2,4,1,4,0,1,1,1,1,2,1,0,0,1,0,3,1
830401,8583,away,1,win,4,2,1,4,2,1,1,1,0,1,0,1,0,1,0,3,1
830447,9829,home,1,win,4,3,2,2,1,1,2,1,1,1,0,1,1,0,1,1,1
830465,9873,home,2,lose,4,2,1,4,1,0,3,0,1,1,1,0,0,0,1,3,1
830470,9874,home,1,win,3,2,5,1,2,0,1,1,0,1,0,2,3,1,0,0,1
830476,9853,away,1,win,2,3,1,5,1,1,0,0,0,3,0,1,0,1,2,2,1
830477,8583,home,1,win,4,3,1,3,2,1,1,1,0,2,0,1,0,0,0,3,1
830484,8639,away,1,win,1,3,3,4,0,1,0,1,0,2,1,0,2,1,1,2,1
830490,8588,home,1,win,2,2,5,2,0,2,0,0,1,1,3,0,2,0,1,1,1
830494,8689,home,2,lose,4,3,2,2,3,1,0,1,1,1,1,0,1,1,0,1,1
830502,9853,away,1,lose,2,2,2,5,1,1,0,0,0,2,1,1,0,1,2,2,1
830508,9827,home,1,win,1,3,6,1,1,0,0,1,0,2,2,1,3,0,1,0,1
830514,8639,home,1,win,1,2,5,3,0,1,0,0,1,1,1,0,4,3,0,0,1
830520,9853,away,1,lose,2,3,1,5,1,1,0,0,0,3,1,0,0,1,2,2,1
830524,8521,away,1,win,0,5,4,2,0,0,0,4,0,1,2,2,0,1,0,1,1
830525,108893,away,1,win,0,1,3,7,0,0,0,0,1,0,0,0,3,1,4,2,1
830530,9829,away,1,win,4,3,1,3,2,0,2,2,1,0,0,0,1,1,1,1,1
830537,9853,home,1,lose,3,1,3,4,1,1,1,0,0,1,1,1,1,2,0,2,1
830544,8689,away,1,lose,3,2,2,4,1,2,0,1,0,1,2,0,0,1,0,3,1
830550,9831,home,1,lose,2,2,3,4,2,0,0,1,1,0,0,2,1,0,3,1,1
836093,8464,home,1,win,4,2,3,2,2,1,1,0,1,1,2,0,1,1,0,1,1
836094,10228,away,2,lose,2,4,2,3,0,1,1,3,1,0,0,0,2,2,0,1,1
836096,10217,home,2,lose,1,4,3,3,1,0,0,0,1,3,1,0,2,2,1,0,1
836097,9908,home,2,lose,2,3,1,5,1,0,1,2,0,1,1,0,0,1,1,3,1
836101,9839,home,1,win,1,3,5,2,0,0,1,1,1,1,2,1,2,0,2,0,1
836105,9761,home,2,lose,1,4,2,4,1,0,0,1,1,2,0,0,2,2,1,1,1
836108,10217,away,2,lose,1,4,3,3,0,1,0,1,1,2,0,1,2,2,1,0,1
836110,8526,home,1,lose,1,3,4,3,0,0,1,0,1,2,1,2,1,1,1,1,1
836113,9761,home,2,lose,1,4,3,3,1,0,0,0,2,2,0,1,2,1,1,1,1
836118,10229,home,2,lose,2,4,3,2,2,0,0,1,2,1,1,0,2,0,2,0,1
836181,9791,home,1,lose,3,4,1,3,1,0,2,0,2,2,0,1,0,1,0,2,1
836182,9839,away,1,lose,1,1,6,3,0,0,1,0,1,0,2,2,2,0,3,0,1
836185,8277,home,1,lose,3,0,4,4,1,2,0,0,0,0,1,1,2,1,0,3,1
836199,8674,home,1,win,4,4,0,3,1,3,0,0,1,3,0,0,0,1,2,0,1
